time,pressure
32.955, 12
32.987, 12
33.053, 12
33.086, 10
33.152, 10
33.185, 10
33.251, 10
33.284, 10
33.350, 10
33.384, 10
33.449, 10
33.482, 10
33.547, 10
33.580, 10
33.647, 10
33.678, 10
33.744, 10
33.809, 10
33.842, 10
33.908, 10
33.941, 10
34.007, 10
34.041, 10
34.107, 10
34.140, 10
34.206, 10
34.240, 10
34.306, 10
34.338, 10
34.404, 10
34.437, 10
34.503, 10
34.537, 10
34.604, 10
34.637, 10
34.703, 10
34.736, 10
34.801, 10
34.834, 10
34.900, 10
34.932, 10
34.998, 10
35.062, 76
35.095, 172
35.160, 265
35.193, 356
35.259, 445
35.293, 532
35.358, 611
35.391, 682
35.457, 745
35.489, 804
35.555, 854
35.588, 899
35.655, 937
35.687, 968
35.753, 996
35.785, 1020
35.851, 1033
35.883, 990
35.949, 12
36.016, 10
36.050, 10
36.115, 10
36.148, 10
36.214, 10
36.246, 10
36.312, 10
36.345, 8
36.409, 8
36.442, 8
36.509, 8
36.543, 8
36.607, 8
36.640, 8
36.706, 8
36.737, 8
36.803, 8
36.835, 8
36.901, 8
36.933, 8
36.999, 8
37.065, 8
37.098, 8
37.165, 8
37.199, 8
37.263, 8
37.297, 8
